,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
342,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[22]/div/div[1]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],15,948,4930,258.0,618.7999877929688,76,1,12,12,12,0,0,0,0,0,False
343,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[22]/div/div[1]/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[],16,948,4982,178.39999389648438,606.7999877929688,69,1,0,0,0,0,0,0,0,0,False
344,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[22]/div/div[1]/div[2]/div[2]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[],17,1227,4982,178.39999389648438,327.29998779296875,40,1,0,24,0,0,0,0,0,0,False
345,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[22]/div/div[1]/div[2]/div[2]/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div,18,1227,4982,178.39999389648438,327.29998779296875,39,4,0,0,0,0,0,-24,0,0,False
346,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[22]/div/div[1]/div[2]/div[2]/div[1]/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div,19,1227,4982,178.39999389648438,327.29998779296875,38,3,0,0,0,0,0,0,0,0,False
347,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[22]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[],20,1358,4982,178.39999389648438,196.36666870117188,17,1,0,6,0,12,0,0,0,0,False
348,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[22]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[]/div,21,1370,4982,171.0,178.36666870117188,16,10,0,12,0,0,0,0,0,0,False
349,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[22]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[],20,1227,4982,178.39999389648438,130.9166717529297,19,1,8,8,0,8,0,0,0,-4,False
350,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[22]/div/div[1]/div[2]/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[],17,948,4982,178.39999389648438,267.5,27,1,0,6,0,0,0,12,0,0,False
351,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[],12,656,5197,260.0,912.0,80,5,0,0,0,0,8,0,0,0,True
352,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div,13,656,5198,258.0,910.0,79,2,0,0,0,0,0,0,0,0,False
353,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[],14,656,5198,258.0,910.0,77,8,0,0,0,0,0,0,0,0,False
354,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],15,656,5198,258.0,291.20001220703125,11,1,0,12,0,0,0,0,0,0,False
355,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div,16,656,5198,258.0,279.20001220703125,10,1,0,0,0,0,0,0,0,0,False
356,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[1]/div/a/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div/a/div,18,656,5198,258.0,279.20001220703125,1,5,0,0,0,0,0,0,0,0,False
357,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],15,948,5198,258.0,618.7999877929688,64,1,12,12,12,0,0,0,0,0,False
358,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[],16,948,5250,178.39999389648438,606.7999877929688,57,1,0,0,0,0,0,0,0,0,False
359,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[2]/div[2]/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[],17,1227,5250,178.39999389648438,327.29998779296875,36,1,0,24,0,0,0,0,0,0,False
360,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[2]/div[2]/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div,18,1227,5250,178.39999389648438,327.29998779296875,35,4,0,0,0,0,0,-24,0,0,False
361,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[2]/div[2]/div[1]/div/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div,19,1227,5250,178.39999389648438,327.29998779296875,34,3,0,0,0,0,0,0,0,0,False
362,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[],20,1358,5250,178.39999389648438,196.36666870117188,13,1,0,6,0,12,0,0,0,0,False
363,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[1]/div,/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[]/div,21,1370,5250,137.0,178.36666870117188,12,10,0,12,0,0,0,0,0,0,False
364,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[1]/div/div[1],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[]/div/div[],22,1370,5250,88.0,166.36666870117188,9,1,0,0,0,0,0,0,0,0,False
365,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[2]/div[2]/div[1]/div/div/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[]/div/div/div[],20,1227,5250,178.39999389648438,130.9166717529297,19,1,8,8,0,8,0,0,0,-4,False
366,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[23]/div/div[1]/div[2]/div[2]/div[2],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[]/div[]/div[],17,948,5250,178.39999389648438,267.5,19,1,0,6,0,0,0,12,0,0,False
367,/html/body/div[3]/div[1]/div[1]/div/div[2]/div[3]/div[2]/div[3]/div/div[25],/html/body/div[]/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div[],12,656,5465,260.0,912.0,85,5,0,0,0,0,8,0,0,0,True
