,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
40,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[],10,327,189,4743.5166015625,744.0,2364,2,0,8,0,8,0,0,0,0
41,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[],11,335,205,4724.16650390625,728.0,2358,3,0,0,0,0,16,0,0,0
42,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[],12,335,205,297.0,728.0,84,1,0,0,0,0,0,0,0,0
43,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[2]/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[],13,335,205,150.0,728.0,24,1,0,0,0,0,0,0,0,0
44,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[2]/div[1]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div,14,335,205,150.0,728.0,23,2,15,15,15,15,0,0,22,0
45,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[2]/div[1]/div/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div/div,15,351,221,118.0,696.0,22,1,0,0,0,0,0,0,0,0
46,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[],12,335,516,3622.166748046875,728.0,2225,1,0,0,0,0,-1,0,-1,0
47,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[],13,335,516,3622.166748046875,728.0,1757,3,0,0,0,0,0,0,0,0
48,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[],14,335,516,3622.166748046875,728.0,1754,2,0,0,0,0,0,0,0,0
49,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div,15,335,516,3622.166748046875,728.0,1753,1,0,0,0,0,0,0,0,0
50,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div,16,335,516,3622.166748046875,728.0,1752,1,0,0,0,0,0,0,0,0
51,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[],17,336,517,211.0,726.0,137,8,0,0,0,0,0,0,16,0
52,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div,18,337,518,209.0,724.0,131,1,0,0,0,0,0,0,0,0
53,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[],19,337,518,209.0,724.0,117,3,0,0,0,0,0,0,0,0
54,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div,20,337,518,209.0,724.0,116,1,0,0,0,0,0,0,0,0
55,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,337,518,209.0,226.0,13,1,0,0,0,0,0,0,0,0
56,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div/div[1]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div,22,337,518,209.0,226.0,12,3,0,0,0,0,0,0,0,0
57,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div/div[1]/div/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div,23,337,518,209.0,226.0,11,2,0,0,0,0,0,0,0,0
58,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,169,518,209.0,724.0,82,1,0,0,0,394.05,0,0,0,-394.05
59,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div/div[2]/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div[],22,563,518,152.0,329.95001220703125,33,2,0,0,0,0,0,0,0,0
60,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div/div[2]/div[1]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div[]/div,23,563,518,152.0,329.95001220703125,32,1,14,23,10,23,0,0,0,0
61,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div/div[3],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,893,518,209.0,168.0,18,1,0,0,0,0,0,0,0,0
62,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div/div[3]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div,22,894,518,209.0,167.0,17,3,0,0,0,0,0,0,0,0
63,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[2]/div/div[2]/div/div[3]/div/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div,23,894,518,209.0,167.0,16,2,12,12,12,12,0,0,0,0
