,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
110,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[],10,194,3827,96.0,960.0,1,1,0,10,0,10,15,194.5,15,194.5
111,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div/div[],10,194,3938,2348.833251953125,960.0,499,1,0,10,0,10,0,194.5,0,194.5
112,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[],11,204,3953,2332.833251953125,940.0,496,6,0,0,0,0,0,0,0,0
113,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div,12,194,3953,2332.833251953125,960.0,495,1,0,0,0,0,15,-10,0,-10
114,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[],13,194,3953,466.566650390625,320.0,32,1,0,10,0,10,0,0,0,0
115,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div,14,204,3953,446.566650390625,300.0,31,8,0,0,0,0,0,0,0,0
116,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div,15,204,3953,446.566650390625,300.0,30,1,0,0,0,0,0,0,20,0
117,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div,16,204,3953,446.566650390625,300.0,29,1,0,0,0,0,0,0,0,0
118,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div,17,194,4005,394.75,320.0,22,1,0,0,0,0,0,-10,0,-10
119,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div,18,194,4005,394.75,320.0,21,1,0,10,0,10,0,0,0,0
120,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div/div/div/div/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,204,4005,168.75,300.0,4,9,0,0,0,0,0,0,0,0
121,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div/div/div/div/div[1]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div,20,204,4005,168.75,300.0,3,1,0,0,0,0,0,0,0,0
122,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div/div/div/div/div[1]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div,21,204,4005,168.75,300.0,2,1,0,0,168.75,0,0,0,0,0
123,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div/div/div/div/div[1]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div/div,22,204,4005,168.75,300.0,1,1,0,0,0,0,0,0,0,0
124,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div/div/div/div/div[3],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,204,4186,214.0,300.0,10,1,15,15,0,15,0,0,0,0
125,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div/div/div/div/div[3]/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,220,4201,120.0,270.0,6,2,0,0,0,0,0,0,0,0
126,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[1]/div/div/div/div/div/div[3]/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,210,4321,79.0,290.0,2,1,15,0,20,0,0,-10,0,-10
127,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[],13,514,3953,466.566650390625,320.0,32,1,0,10,0,10,0,0,0,0
128,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[2]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div,14,524,3953,446.566650390625,300.0,31,8,0,0,0,0,0,0,0,0
