,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
257,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div,20,337,3891,209.0,724.0,83,1,0,0,0,0,0,0,0,0,False
258,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,337,3891,209.0,226.0,5,1,0,0,0,0,0,0,0,0,False
259,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div/div[1]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div,22,337,3891,209.0,226.0,4,3,0,0,0,0,0,0,0,0,False
260,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div/div[1]/div/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div,23,337,3891,209.0,226.0,3,2,0,0,0,0,0,0,0,0,False
261,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,169,3891,209.0,724.0,57,1,0,0,0,394.05,0,0,0,-394.05,False
262,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div/div[2]/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div[],22,563,3891,152.0,329.95001220703125,29,2,0,0,0,0,0,0,0,0,False
263,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div/div[2]/div[1]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div[]/div,23,563,3891,152.0,329.95001220703125,28,1,14,23,10,23,0,0,0,0,False
264,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div/div[3],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[],21,893,3891,209.0,168.0,18,1,0,0,0,0,0,0,0,0,False
265,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div/div[3]/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div,22,894,3891,209.0,167.0,17,3,0,0,0,0,0,0,0,0,False
266,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div/div[3]/div/div,/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div,23,894,3891,209.0,167.0,16,2,12,12,12,12,0,0,0,0,False
267,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[3]/div[2]/div[3]/div/div/div[31]/div/div[2]/div/div[3]/div/div/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[]/div[]/div/div/div[]/div/div[]/div/div[]/div/div/div[],24,906,3903,142.0,143.0,12,1,0,0,0,0,0,0,0,0,False
268,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[4],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[],12,335,4117,852.0,728.0,40,1,0,0,0,0,0,0,0,0,False
269,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[2]/div[3]/div[4]/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div[]/div[]/div[],13,336,4117,85.0,726.0,5,2,18,0,18,0,0,0,0,0,False
