,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
153,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[3]/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div,16,644,3689,141.0,564.0,49,3,0,0,0,0,0,0,0,0
154,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[3]/div/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div,17,644,3689,141.0,564.0,48,0,0,0,0,0,0,0,0,0
155,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[3]/div/div/div/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div/div,18,640,3689,141.0,572.0,47,5,4,4,4,4,-4,-4,-4,-4
156,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[3]/div/div/div/div/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div/div/div[],19,644,3693,133.0,379.0,26,1,0,24,0,0,0,0,0,0
157,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[3]/div/div/div/div/div[1]/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div/div/div[]/div,20,644,3693,133.0,355.0,25,1,0,0,0,0,0,0,0,0
158,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[3]/div/div/div/div/div[2],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div/div/div[],19,1022,3693,133.0,185.0,19,2,0,0,0,0,0,0,0,0
159,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[13],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],12,410,3859,251.0,814.0,112,6,16,16,16,16,16,0,16,0
160,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[13]/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[],13,428,3876,217.0,200.0,20,2,0,0,0,0,0,0,0,0
161,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[13]/div[2],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[],13,628,3876,217.0,580.0,90,1,0,0,0,16,0,0,0,0
162,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[13]/div[2]/div[3],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[],14,644,3978,115.0,564.0,42,1,0,0,0,0,8,0,0,0
