,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
107,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[23]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,484,4384,148.09999084472656,301.0,26,1,0,0,0,0,0,0,0,20
108,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[24],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,4572,168.10000610351562,495.0,35,1,0,0,0,0,30,0,0,0
109,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[24]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,4572,168.10000610351562,495.0,33,1,10,0,10,5,0,0,0,0
110,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[24]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,4582,148.10000610351562,430.0,32,2,0,0,0,0,0,0,0,60
111,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[24]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,472,4582,148.10000610351562,301.0,26,1,0,0,0,0,0,0,0,20
112,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[25],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,4770,181.5,495.0,35,1,0,0,0,0,30,0,0,0
113,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[25]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,4770,181.5,495.0,33,1,10,0,10,5,0,0,0,0
114,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[25]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,4780,161.5,430.0,32,2,0,0,0,0,0,0,0,60
115,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[25]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,426,4797,145.0,301.0,26,1,0,0,0,0,0,0,0,20
116,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[26],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,4952,165.0,495.0,33,1,0,0,0,0,0,0,0,0
117,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[26]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,4952,165.0,495.0,31,1,10,0,10,5,0,0,0,0
118,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[26]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,4962,145.0,430.0,30,2,0,0,0,0,0,0,0,60
119,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[26]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,488,4962,145.0,301.0,24,1,0,0,0,0,0,0,0,20
120,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[27],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,5117,181.5,495.0,33,1,0,0,0,0,0,0,0,0
